Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-13,126.992,127.657,126.251,127.125,96900,0.0,0.0
2019-06-14,126.935,126.935,123.449,123.582,133300,0.0,0.0
2019-06-17,123.582,123.848,122.443,122.785,109400,0.0,0.0
2019-06-18,123.402,126.546,123.392,125.729,97300,0.0,0.0
2019-06-19,125.776,126.584,124.808,126.318,107100,0.0,0.0
2019-06-20,127.999,129.062,126.517,128.987,110200,0.0,0.0
2019-06-21,128.892,129.281,127.305,128.901,220000,0.0,0.0
2019-06-24,128.797,129.594,128.103,128.369,94400,0.0,0.0
2019-06-25,128.464,129.006,127.638,127.78,139500,0.0,0.0
2019-06-26,128.474,129.708,128.217,129.119,152900,0.0,0.0
2019-06-27,129.566,131.826,128.986,131.722,123400,0.0,0.0
2019-06-28,132.045,134.676,132.045,134.21,325200,0.0,0.0
2019-07-01,136.053,137.677,133.27,134.505,190600,0.0,0.0
2019-07-02,133.07,134.039,131.902,132.956,104400,0.0,0.0
2019-07-03,133.517,134.125,133.165,133.764,78700,0.0,0.0
2019-07-05,132.596,132.596,128.483,131.693,195000,0.0,0.0
2019-07-08,130.858,132.396,129.053,129.452,127300,0.0,0.0
2019-07-09,128.569,129.015,127.172,128.379,125100,0.0,0.0
2019-07-10,129.138,129.87,127.638,127.685,164900,0.0,0.0
2019-07-11,127.799,129.024,127.267,128.958,74000,0.0,0.0
2019-07-12,129.594,132.225,129.423,131.893,115900,0.0,0.0
2019-07-15,131.978,132.444,130.952,131.997,91000,0.0,0.0
2019-07-16,132.32,133.593,132.111,132.852,87100,0.0,0.0
2019-07-17,132.472,133.906,131.218,131.247,87700,0.0,0.0
2019-07-18,131.475,131.475,129.699,129.936,78300,0.0,0.0
2019-07-19,130.478,132.292,127.951,130.601,103100,0.0,0.0
2019-07-22,130.782,132.149,130.725,131.437,93100,0.0,0.0
2019-07-23,131.855,133.27,129.756,133.146,143600,0.0,0.0
2019-07-24,132.662,136.452,132.662,135.863,192500,0.0,0.0
2019-07-25,136.556,136.556,134.058,134.296,102800,0.0,0.0
2019-07-26,133.488,135.226,131.361,134.704,122900,0.0,0.0
2019-07-29,134.79,135.749,132.586,132.691,137800,0.0,0.0
2019-07-30,131.75,135.435,131.37,135.359,126100,0.0,0.0
2019-07-31,135.625,136.594,133.441,134.543,259000,0.0,0.0
2019-08-01,134.998,135.815,130.535,131.57,215900,0.0,0.0
2019-08-02,131.067,131.456,127.866,128.607,194600,0.0,0.0
2019-08-05,125.672,127.153,124.342,125.368,162800,0.0,0.0
2019-08-06,126.204,128.493,125.776,126.593,136200,0.0,0.0
2019-08-07,124.912,127.97,123.563,127.714,155400,0.0,0.0
2019-08-08,129.281,132.444,128.445,132.244,244500,0.0,0.0
2019-08-09,131.741,132.605,129.081,131.332,129600,0.0,0.0
2019-08-12,130.525,131.636,129.053,129.366,105800,0.0,0.0
2019-08-13,129.1,133.849,129.1,131.902,125700,0.0,0.0
2019-08-14,129.471,133.089,126.308,126.745,346800,0.0,0.0
2019-08-15,127.153,127.97,124.627,125.634,173500,0.0,0.0
2019-08-16,127.144,130.24,126.137,129.965,143600,0.0,0.0
2019-08-19,131.731,133.811,129.556,130.307,162800,0.0,0.0
2019-08-20,129.642,132.956,128.36,128.673,305700,0.0,0.0
